Invoice_ID,Customer_Name,Invoice_Date,Due_Date,Invoice_Amount,Amount_Paid,,
INV-1001,Acme Corp,1/15/2026,2/14/2026,5000,5000,,
INV-1002,Globex,1/20/2026,2/19/2026,12000,0,,
INV-1003,Initech,2/5/2026,3/7/2026,3500,1000,,
INV-1004,Acme Corp,2/15/2026,3/17/2026,4500,0,,
INV-1005,Soylent Corp,2/25/2026,3/27/2026,8000,8000,,
INV-1006,Soylent Corp,3/1/2026,3/31/2026,2200,0,,
INV-1007,Massive Dynamic,3/10/2026,4/9/2026,15000,15000,,
INV-1008,Globex,3/15/2026,4/14/2026,6000,0,,
INV-1009,Acme Corp,3/25/2026,4/24/2026,3100,0,,
INV-1010,Initech,4/1/2026,5/1/2026,7500,0,,
INV-1011,Massive Dynamic,4/5/2026,5/5/2026,9200,0,,
INV-1012,Umbrella Corp,1/10/2026,2/9/2026,18500,0,,
