Food_Item,Category,Calories,Protein,Carbohydrates,Fat
Chicken Breast,Meat,263,21.1,3.7,4.4
Salmon,Fish,135,27.4,3.4,13.5
Egg,Dairy/Egg,94,16.0,0.5,2.8
Tofu,Plant-Based,129,11.5,5.4,2.8
Lentils,Plant-Based,183,12.9,11.3,5.0
Brown Rice,Grains,242,8.5,20.3,4.0
Quinoa,Grains,316,4.7,26.2,4.8
Oats,Grains,272,2.8,35.2,1.8
Sweet Potato,Vegetable,64,3.4,12.5,0.7
Broccoli,Vegetable,88,1.5,14.0,0.1
Spinach,Vegetable,57,4.3,10.0,0.9
Almonds,Nut/Seed,346,14.7,2.8,27.5
Walnuts,Nut/Seed,446,19.7,17.4,62.7
Greek Yogurt,Dairy/Egg,244,9.1,9.5,10.9
Milk,Dairy/Egg,239,10.8,10.1,21.1
Apple,Fruit,83,1.3,19.1,0.2
Banana,Fruit,86,0.5,16.9,0.3
Orange,Fruit,99,1.3,18.4,0.7
Blueberries,Fruit,93,1.5,10.8,0.8
Avocado,Fruit,91,0.6,14.0,0.2
Beef Steak,Meat,245,28.8,1.6,10.2
Pork Chop,Meat,201,28.8,3.2,3.0
Shrimp,Seafood,135,22.5,2.8,4.7
Tuna,Seafood,249,24.3,2.9,6.1
Chickpeas,Plant-Based,117,11.6,6.4,1.4
Pasta,Grains,156,3.2,26.4,3.4
Bread,Grains,132,5.1,43.8,2.3
Cheese,Dairy/Egg,178,24.4,12.9,0.3
Butter,Dairy/Egg,108,18.0,8.1,8.0
Olive Oil,Fat,498,4.0,9.8,40.0
