Square_Feet,Bedrooms,Bathrooms,Age,Location_Score,Has_Garage,Price
2248.0,2,2,40,4.0,1,434996
1930.0,2,2,0,9.0,0,471827
2323.0,3,1,4,4.0,0,517484
2761.0,3,3,19,4.0,0,547876
1882.0,5,3,7,2.0,1,473098
1882.0,5,1,42,6.0,0,411092
2789.0,1,1,11,2.0,0,533010
2383.0,1,2,0,7.0,0,546377
1765.0,5,1,19,3.0,0,420154
2271.0,5,3,27,3.0,0,445300
1768.0,4,1,42,5.0,1,403368
1767.0,3,2,36,3.0,1,408023
2120.0,1,2,46,2.0,1,411538
1043.0,3,2,36,10.0,1,366364
1137.0,3,2,11,9.0,1,381008
1718.0,5,2,36,2.0,1,373080
1493.0,4,1,48,2.0,1,278522
2157.0,2,1,48,8.0,0,424410
1545.0,4,1,43,9.0,1,470702
1293.0,4,1,27,7.0,0,329808
2732.0,3,2,46,3.0,0,454815
1887.0,4,3,14,9.0,1,532366
2033.0,1,1,5,3.0,0,426336
1287.0,3,3,43,5.0,0,357233
1727.0,1,1,19,9.0,0,416824
2055.0,2,1,49,3.0,0,395390
1424.0,3,3,13,7.0,1,461605
2187.0,2,2,1,,1,438413
1699.0,3,1,8,4.0,1,378253
1854.0,5,1,36,4.0,1,389735
1699.0,4,1,19,7.0,1,424205
2926.0,5,3,25,8.0,1,694735
1993.0,2,2,28,1.0,1,414151
1471.0,4,3,0,5.0,1,437867
2411.0,3,3,34,7.0,1,497167
1389.0,4,2,5,4.0,1,366020
2104.0,1,3,36,4.0,0,378708
1020.0,4,2,4,4.0,1,358281
1335.0,1,1,32,6.0,0,342891
2098.0,4,2,48,7.0,0,476189
2369.0,1,1,13,2.0,0,412680
2085.0,2,3,11,5.0,0,503800
1942.0,5,3,41,4.0,1,448968
1849.0,3,1,19,3.0,0,352988
1260.0,4,3,49,7.0,1,340889
1640.0,5,2,23,6.0,1,422246
1769.0,3,1,42,7.0,0,389589
2528.0,3,3,33,5.0,1,537166
2171.0,1,1,24,6.0,0,401333
1118.0,2,2,49,5.0,0,299032
2162.0,2,2,28,7.0,1,482534
,5,3,38,2.0,1,400206
1661.0,2,2,30,5.0,0,396907
2305.0,4,1,46,6.0,1,455164
2515.0,2,2,42,6.0,1,474527
2465.0,5,1,49,5.0,1,537562
1580.0,2,1,22,10.0,0,447284
1845.0,4,2,43,7.0,0,412197
2165.0,1,3,37,10.0,1,511600
2487.0,5,2,19,8.0,1,555383
1760.0,1,1,22,7.0,1,407137
1907.0,1,1,44,5.0,1,375157
,1,2,15,1.0,1,319346
1401.0,3,3,49,5.0,0,346381
2406.0,3,3,41,10.0,1,537446
2678.0,1,1,7,2.0,0,480654
,5,1,49,5.0,1,385355
2501.0,4,3,20,5.0,0,531275
2180.0,4,2,0,2.0,1,484664
1677.0,2,1,7,5.0,0,385274
2180.0,5,1,28,4.0,1,479989
2769.0,3,3,31,1.0,0,541948
1982.0,1,2,37,3.0,0,341808
2782.0,2,3,4,1.0,0,501143
690.0,4,2,46,5.0,0,240723
2410.0,3,2,21,4.0,0,439525
2043.0,3,2,46,7.0,0,445032
1850.0,1,1,33,5.0,1,359992
2045.0,4,3,0,10.0,0,581070
1006.0,5,3,25,4.0,1,337161
1890.0,3,2,42,2.0,1,386021
2178.0,1,1,9,4.0,1,483393
2738.0,5,1,29,2.0,1,510114
1740.0,4,3,49,8.0,1,425164
1595.0,3,1,17,3.0,0,315713
1749.0,5,1,16,9.0,0,429724
2457.0,5,2,25,4.0,0,515077
2164.0,5,1,7,6.0,1,524948
1735.0,3,2,46,10.0,0,448285
2256.0,3,3,39,5.0,0,428781
2048.0,2,1,48,10.0,0,439903
2484.0,4,3,11,1.0,0,478895
1648.0,1,3,26,9.0,0,411067
1836.0,5,1,7,1.0,1,471754
1803.0,2,1,24,8.0,0,418746
1268.0,1,3,45,9.0,1,382686
2148.0,2,1,3,9.0,1,563217
,3,2,32,1.0,1,455683
2002.0,5,2,0,2.0,1,459102
1882.0,1,1,18,1.0,1,337404
1292.0,1,3,30,10.0,0,368046
1789.0,1,1,15,2.0,0,334157
1828.0,1,1,13,10.0,0,398086
1598.0,1,3,47,8.0,1,403723
1919.0,2,3,4,5.0,0,455497
2202.0,5,2,40,7.0,0,534527
2943.0,3,3,25,2.0,1,572405
2087.0,3,2,27,8.0,1,503053
2128.0,3,3,1,6.0,1,506562
1962.0,3,1,49,8.0,1,462129
1040.0,2,2,5,1.0,0,257884
1986.0,4,2,8,1.0,1,410585
2030.0,5,2,32,7.0,1,492163
3231.0,1,1,40,8.0,0,609413
1903.0,4,1,24,3.0,0,402831
2150.0,3,1,47,5.0,1,466647
1982.0,4,1,12,1.0,0,364098
1415.0,5,1,8,7.0,1,388181
2571.0,1,2,12,5.0,1,549644
2375.0,1,1,30,8.0,0,463118
2395.0,5,2,40,8.0,0,535261
1545.0,5,1,10,9.0,1,386256
2701.0,3,3,3,7.0,1,685048
1299.0,1,2,33,1.0,1,275107
2293.0,4,3,37,3.0,0,501798
3095.0,2,2,45,8.0,1,610827
1504.0,2,3,3,3.0,1,397967
1716.0,5,1,37,8.0,1,472697
2049.0,3,1,18,1.0,1,443495
1748.0,2,1,5,5.0,1,407088
1224.0,1,2,33,4.0,0,277218
2034.0,5,3,17,5.0,1,528189
1468.0,4,1,12,8.0,1,471531
2236.0,5,3,40,10.0,1,565207
1540.0,4,3,22,4.0,1,452926
2774.0,5,1,18,4.0,0,547064
1608.0,5,1,44,3.0,0,365999
1838.0,5,3,10,7.0,0,508228
2406.0,4,1,0,3.0,1,505650
1384.0,4,1,23,3.0,1,320923
2113.0,5,1,6,10.0,0,554584
2653.0,2,2,24,5.0,0,510661
1196.0,3,3,20,5.0,0,312041
2092.0,3,3,14,6.0,1,487701
2129.0,3,2,0,8.0,1,515959
2390.0,4,3,11,10.0,0,603915
1381.0,4,1,6,6.0,0,379026
1339.0,2,3,14,1.0,0,329741
2260.0,3,1,20,8.0,1,524534
2148.0,3,2,18,8.0,1,499353
2125.0,5,1,28,9.0,1,533177
2173.0,4,3,24,9.0,0,556511
1659.0,3,3,32,2.0,0,376462
2116.0,2,3,48,2.0,1,435641
2146.0,2,2,31,3.0,0,401723
1642.0,3,2,48,1.0,1,343595
2932.0,4,3,34,4.0,0,560293
2236.0,2,1,43,4.0,0,416799
1404.0,5,2,37,9.0,0,352593
2328.0,2,3,25,9.0,0,488386
1512.0,1,3,10,9.0,1,427023
2393.0,1,2,34,10.0,0,501239
2579.0,4,2,7,7.0,1,592519
1589.0,3,2,45,2.0,1,339980
2481.0,4,1,13,10.0,1,584904
2206.0,4,1,9,5.0,0,492115
2411.0,4,3,1,4.0,1,544068
2948.0,4,2,45,8.0,1,611713
1877.0,5,1,8,2.0,1,464925
1623.0,5,2,2,6.0,0,431527
1555.0,2,3,20,5.0,0,373769
1592.0,1,1,25,2.0,1,330862
1961.0,4,1,7,10.0,0,488115
2170.0,2,1,47,1.0,1,375760
2138.0,1,3,1,8.0,1,499749
2413.0,3,2,5,2.0,0,467864
2006.0,5,1,27,7.0,1,500722
2726.0,1,3,28,9.0,0,560152
1867.0,3,2,25,9.0,0,451176
3360.0,1,3,24,8.0,1,702518
2312.0,5,2,11,10.0,0,558840
1571.0,5,3,4,9.0,0,482484
1464.0,2,2,33,2.0,1,288080
2241.0,4,1,47,6.0,1,470837
1888.0,1,2,36,4.0,0,379172
2357.0,1,3,14,4.0,0,485128
2236.0,3,3,43,5.0,1,446077
1963.0,5,2,35,3.0,0,449527
1576.0,1,1,14,1.0,0,286033
1242.0,5,1,42,8.0,0,347675
1776.0,1,2,47,5.0,0,359599
2428.0,2,2,22,3.0,0,497292
2107.0,4,3,5,10.0,0,600737
1377.0,1,1,45,7.0,0,274290
2086.0,5,2,49,7.0,1,467677
2192.0,2,1,43,1.0,1,405527
1558.0,1,2,42,9.0,1,364066
2076.0,3,2,44,2.0,1,436954
2029.0,4,1,20,5.0,1,480434
1428.0,1,2,22,5.0,0,346186
2178.0,2,2,42,8.0,0,470614
2280.0,3,3,15,8.0,0,566242
2541.0,2,2,46,7.0,0,476259
2526.0,2,2,14,7.0,1,556531
1311.0,3,2,24,6.0,0,324179
1531.0,2,3,35,6.0,0,391897
2257.0,3,1,10,9.0,1,487716
2256.0,1,3,14,6.0,0,488697
2257.0,3,3,3,2.0,0,488930
3926.0,3,1,20,2.0,1,680212
2285.0,4,3,12,5.0,0,500095
2567.0,3,1,21,4.0,0,499434
2477.0,3,3,18,2.0,0,522427
2325.0,1,1,33,3.0,0,394928
1842.0,4,2,13,7.0,0,431838
2379.0,5,3,3,8.0,1,626989
1613.0,1,3,47,6.0,1,373125
1881.0,1,3,45,5.0,1,392711
1757.0,5,3,26,1.0,1,430767
2040.0,3,2,28,8.0,1,475795
3157.0,2,3,46,3.0,1,618235
1066.0,4,2,27,6.0,0,296306
2343.0,2,2,34,3.0,1,463460
1193.0,5,2,7,7.0,1,415574
1764.0,1,2,15,7.0,0,403943
2544.0,1,1,41,9.0,0,524501
2032.0,4,1,35,5.0,1,443161
1461.0,1,3,29,8.0,0,424692
1642.0,1,1,17,10.0,1,463519
2339.0,4,1,1,10.0,0,521647
1634.0,4,3,48,8.0,1,445156
2108.0,5,3,12,1.0,0,438789
2022.0,1,3,3,5.0,0,460087
1674.0,1,1,25,3.0,1,352809
3071.0,5,1,24,1.0,1,555265
2316.0,3,3,29,4.0,1,529862
987.0,3,2,10,8.0,1,353132
2093.0,3,3,6,3.0,1,475832
1669.0,5,2,30,10.0,0,439397
2426.0,1,2,43,2.0,1,454394
1603.0,5,3,9,9.0,1,496648
1942.0,5,3,38,10.0,0,495175
2252.0,3,3,12,5.0,0,429987
2432.0,2,1,30,7.0,1,510222
1399.0,1,2,6,2.0,0,277812
1832.0,3,1,48,9.0,0,406563
1762.0,2,1,41,9.0,1,383185
1673.0,2,3,41,4.0,0,329537
2882.0,4,1,35,4.0,0,573178
2202.0,1,3,19,6.0,1,488297
1369.0,2,2,3,10.0,1,412433
2458.0,3,3,6,10.0,0,599763
3061.0,4,1,0,10.0,0,654885
2516.0,1,1,43,6.0,1,541995
1240.0,5,3,44,1.0,0,290174
1757.0,3,3,41,9.0,0,446678
2633.0,2,1,46,2.0,0,478223
1646.0,2,2,12,5.0,1,444956
2221.0,3,2,21,9.0,0,493599
2387.0,2,3,20,4.0,0,482600
1536.0,4,2,21,3.0,1,411264
1970.0,1,1,27,7.0,0,433751
500.0,4,3,8,6.0,0,288879
1487.0,2,1,25,8.0,1,348832
1873.0,5,1,8,3.0,1,476649
1376.0,1,2,14,5.0,1,333364
2816.0,1,3,9,10.0,1,643207
1284.0,3,3,23,4.0,0,330894
1779.0,3,2,41,4.0,0,353887
2065.0,5,1,7,4.0,1,442436
2720.0,1,1,23,10.0,1,536403
1282.0,5,1,15,8.0,0,375275
2581.0,3,1,48,6.0,1,476017
2005.0,3,3,25,3.0,0,402404
1509.0,1,3,26,10.0,1,419899
2231.0,4,2,36,5.0,0,402679
2099.0,2,2,3,6.0,1,511324
1699.0,3,3,49,5.0,1,340602
2034.0,3,3,23,6.0,0,465165
1807.0,4,1,18,8.0,1,458425
2056.0,4,1,35,7.0,0,461851
2331.0,5,2,38,5.0,0,490607
2793.0,5,3,9,10.0,0,705397
1381.0,2,2,24,6.0,0,348557
3066.0,2,3,17,4.0,0,624240
1023.0,1,1,18,9.0,1,302363
1924.0,5,2,35,4.0,1,446618
2294.0,3,2,9,1.0,0,493789
2140.0,5,3,32,7.0,1,518057
1688.0,3,1,49,7.0,0,374005
1895.0,4,2,4,4.0,1,484771
1753.0,5,1,46,3.0,1,363394
1705.0,4,2,48,8.0,1,373710
2424.0,2,1,34,5.0,1,490989
2178.0,2,3,43,10.0,0,523416
1653.0,1,2,33,7.0,0,341163
2449.0,5,2,32,4.0,1,542105
2153.0,4,1,20,4.0,1,484874
