Student_ID,Study_Hours,Attendance_Pct,Has_Part_Time_Job,Math_Score,Science_Score,English_Score
1001,23.5,80.8,No,150,94,47
1002,13.1,100.0,No,79,87,72
1003,14.5,100.0,No,100,85,68
1004,12.5,95.4,Yes,75,91,64
1005,,87.3,No,71,70,66
1006,8.4,87.5,No,77,74,63
1007,5.8,73.5,No,70,47,78
1008,13.0,99.4,No,95,77,79
1009,0.0,98.5,Yes,69,65,72
1010,13.7,76.9,No,75,46,75
1011,12.6,61.8,Yes,82,57,79
1012,7.1,91.5,No,66,78,83
1013,10.9,100.0,No,72,58,78
1014,6.2,78.3,No,56,55,100
1015,5.3,89.0,No,54,68,100
1016,14.8,91.2,No,75,100,59
1017,11.0,99.8,No,97,89,59
1018,19.9,92.7,Yes,74,79,59
1019,23.0,71.1,No,100,62,86
1020,13.4,97.7,No,68,75,65
1021,11.5,80.5,No,83,71,92
1022,18.5,85.4,No,57,94,61
1023,1.5,98.3,No,83,59,53
1024,4.2,57.4,No,42,63,48
1025,9.3,98.0,Yes,79,88,49
1026,12.0,68.9,No,66,64,68
1027,10.8,76.3,No,65,77,100
1028,10.9,100.0,No,96,73,85
1029,14.0,100.0,No,96,82,76
1030,10.4,72.7,No,66,48,64
1031,13.2,69.6,No,74,69,69
1032,11.6,62.1,No,72,74,63
1033,7.5,72.2,No,59,69,68
1034,6.2,100.0,Yes,82,69,77
1035,5.3,87.8,No,77,78,84
1036,12.4,70.1,No,62,60,69
1037,9.4,83.0,No,58,66,84
1038,19.5,65.0,Yes,80,58,73
1039,11.2,83.7,Yes,64,80,69
1040,20.0,95.5,Yes,97,82,81
1041,5.0,63.9,No,51,59,67
1042,11.0,98.1,No,90,79,76
1043,4.3,100.0,No,80,70,74
1044,10.0,98.9,Yes,100,80,90
1045,15.1,76.7,Yes,88,82,73
1046,9.2,99.1,No,83,74,80
1047,9.8,70.4,No,58,71,59
1048,13.2,69.2,No,59,70,71
1049,20.8,100.0,No,100,96,94
1050,6.9,66.0,No,71,56,95
1051,6.2,73.0,No,69,74,85
1052,8.3,81.2,Yes,66,74,66
1053,10.7,86.4,No,68,62,62
1054,7.6,100.0,Yes,88,72,62
1055,12.8,96.9,No,85,70,66
1056,15.1,100.0,Yes,69,61,80
1057,,96.6,No,86,67,64
1058,19.3,89.4,Yes,66,99,59
1059,4.3,64.1,No,45,63,57
1060,13.1,87.2,Yes,74,75,64
1061,11.9,74.1,No,75,74,43
1062,20.4,74.2,No,77,87,52
1063,8.1,80.7,No,60,81,60
1064,11.2,100.0,No,81,88,69
1065,,100.0,No,96,100,99
1066,15.2,100.0,No,84,97,86
1067,9.8,68.8,No,85,43,78
1068,19.7,85.0,No,89,84,51
1069,5.0,81.7,Yes,58,76,67
1070,6.3,89.4,Yes,64,65,84
1071,10.9,97.5,Yes,73,58,94
1072,6.3,82.9,No,72,66,40
1073,3.1,86.8,Yes,60,56,95
1074,17.4,95.0,No,86,57,72
1075,14.8,91.1,No,76,77,88
1076,0.0,97.1,No,81,76,66
1077,15.0,50.0,Yes,43,71,74
1078,16.0,70.2,No,70,80,56
1079,4.8,82.7,No,67,65,76
1080,16.5,69.8,No,77,59,98
1081,2.7,68.7,No,53,70,94
1082,7.5,50.0,Yes,58,51,87
1083,9.2,94.9,No,78,66,62
1084,12.4,80.0,No,71,74,71
1085,12.0,71.1,Yes,58,88,66
1086,11.1,100.0,Yes,85,84,80
1087,5.7,78.0,No,51,67,89
1088,17.7,97.9,No,70,74,57
1089,13.3,88.5,Yes,88,99,66
1090,7.3,94.3,No,70,82,88
1091,7.2,54.2,Yes,48,75,91
1092,17.0,82.5,Yes,79,100,56
1093,13.2,78.3,No,72,57,73
1094,5.5,95.3,No,67,80,93
1095,8.0,100.0,No,75,84,93
1096,15.1,100.0,No,90,61,69
1097,0.1,100.0,No,63,69,91
1098,5.7,62.8,No,60,51,80
1099,13.6,88.2,Yes,100,52,60
1100,3.9,81.4,No,71,71,100
1101,18.0,63.7,No,78,69,68
1102,4.4,89.8,No,67,65,73
1103,3.1,100.0,Yes,73,77,51
1104,3.4,89.9,Yes,73,66,67
1105,10.2,98.8,No,84,82,64
1106,7.9,100.0,Yes,88,59,48
1107,6.1,79.3,Yes,74,73,81
1108,10.6,100.0,No,79,73,64
1109,6.0,72.1,Yes,55,48,88
1110,11.3,81.7,No,77,66,70
1111,13.2,84.2,No,93,83,91
1112,11.8,78.4,Yes,61,52,75
1113,4.6,62.5,No,57,63,72
1114,14.5,100.0,Yes,86,77,71
1115,,100.0,No,79,100,62
1116,14.2,92.5,No,80,87,67
1117,14.9,86.7,No,96,81,87
1118,8.1,79.5,No,77,76,87
1119,13.9,91.9,No,83,72,73
1120,6.5,93.8,Yes,66,76,73
1121,12.9,82.3,Yes,84,71,54
1122,1.9,76.0,No,59,51,67
1123,13.4,50.0,No,55,64,67
1124,10.1,84.5,No,68,69,55
1125,1.6,100.0,No,70,83,92
1126,11.7,85.9,No,58,77,71
1127,7.3,61.9,Yes,55,62,73
1128,20.6,72.7,Yes,79,76,86
1129,11.0,61.0,No,56,78,61
1130,21.5,54.0,No,81,49,85
1131,13.6,100.0,No,77,59,41
1132,5.7,87.6,No,69,52,66
1133,11.5,92.0,No,74,75,44
1134,11.2,51.9,Yes,53,35,93
1135,14.3,93.2,Yes,78,66,86
1136,2.2,95.5,No,94,74,65
1137,8.7,100.0,No,79,81,75
1138,7.1,69.3,No,51,43,62
1139,11.2,65.8,No,48,73,81
1140,11.0,100.0,No,66,96,86
1141,11.6,94.7,Yes,69,100,65
1142,13.4,80.5,Yes,70,75,80
1143,9.1,96.3,Yes,74,77,62
1144,13.9,100.0,No,96,80,70
1145,8.1,89.6,No,67,91,78
1146,8.0,92.9,Yes,77,78,86
1147,11.7,99.1,No,81,67,65
1148,11.0,96.2,No,85,86,73
1149,5.1,82.9,No,69,56,81
1150,21.2,86.3,Yes,90,92,86
1151,5.1,56.7,Yes,49,38,96
1152,2.4,65.3,No,70,52,72
1153,15.7,100.0,No,89,100,100
1154,12.6,75.8,Yes,60,56,63
1155,12.0,59.3,No,56,65,87
1156,6.8,100.0,No,58,87,99
1157,3.0,100.0,No,63,65,100
1158,8.9,65.3,No,46,74,73
1159,9.8,85.5,No,82,76,59
1160,10.1,81.7,No,93,62,52
1161,10.5,80.4,No,73,60,68
1162,16.2,72.4,Yes,67,75,47
1163,4.5,72.5,No,50,37,63
1164,0.5,77.6,No,41,41,47
1165,8.1,93.3,No,59,74,80
1166,1.7,82.1,Yes,56,45,91
1167,0.0,88.5,No,69,57,72
1168,17.6,87.3,No,81,66,96
1169,10.9,82.1,No,54,85,69
1170,,75.2,No,84,74,84
1171,8.0,72.1,No,44,68,60
1172,18.7,79.4,No,88,81,78
1173,15.7,84.8,No,100,71,87
1174,14.5,63.5,No,80,53,80
1175,11.7,73.2,No,77,93,90
1176,4.7,99.7,No,52,77,77
1177,9.4,72.7,No,73,63,76
1178,5.3,86.8,No,59,71,77
1179,20.1,63.6,Yes,76,86,93
1180,4.8,100.0,Yes,57,86,81
1181,3.5,100.0,Yes,57,89,82
1182,1.8,88.9,No,51,71,78
1183,14.0,86.9,No,98,66,92
1184,1.7,92.0,No,54,64,39
1185,13.0,83.0,No,62,79,65
1186,11.4,74.3,No,45,67,75
1187,9.0,98.0,No,95,76,77
1188,22.5,74.1,No,92,44,52
1189,7.3,91.3,No,66,90,98
1190,12.5,100.0,No,59,78,77
1191,3.8,67.1,No,43,77,66
1192,6.0,82.8,No,57,76,96
1193,13.8,85.2,No,98,80,89
1194,6.1,52.7,No,41,77,52
