date,product,region,quantity,unit_price,total
2026-01-01,Coffee,Davao,50,120.00,6000.00
2026-01-02,Juice,Cebu,30,85.00,2550.00
2026-01-03, Cofee ,Davao,40,120.00,4800.00
2026-01-04,Tea,Manila,25,95.00,2375.00
2026-01-05,Coffee,,45,120.00,5400.00
2026-01-06,Juuce,Cebu,60,85.00,5100.00
2026-01-07,Coffee,Davao,,120.00,3600.00
2026-01-08,Tea,Dvo,35,95.00,3325.00
01/09/2026,Coffee,Manila,50,120.00,6000.00
2026-01-10,Juice,Cebu,20,85.00,1700.00
2026-01-11,Coffee,Davao,55,120.00,7000.00
2026-01-12,Coffe,Cebu,40,,4800.00
2026-01-13,Tea,Manila,30,95.00,2850.00
2026-01-14,Coffee,Davao,50,120.00,6000.00
2026-01-15,Juice,Cebu,-10,85.00,-850.00
2026-01-16,coffee,Mnl,45,120.00,5400.00
2026-01-17,Tea,Davao,35,95.00,3325.00
,Coffee,Cebu,60,120.00,7200.00
2026-01-19,Juic,Davao,25,85.00,2000.00
2026-01-20,Coffee,Manila,50,120.00,6000.00
2026-01-14,Coffee,Davao,50,120.00,6000.00
2026-01-21,Tea,Cebu,abc,95.00,0.00
2026-01-22,Juice,Davao,40,85.00,3400.00
2026-01-23,Coffee,Manila,55,120.00,5500.00
2026-01-24,Tea,,20,95.00,1900.00
2026-01-25,Coffee,Davao,500,120.00,60000.00
2026-01-26,Juice,Cebu,35,85.00,2975.00
2026-01-27, Tea ,Davao,30,95.00,2850.00
2026-01-28,Coffee,Manila,45,120.00,5400.00
2026-01-29,Juice,Cebu,50,85.00,4250.00
2026-01-30,Coffee,Davao,40,negative,4800.00
