Date,product,region,,If Statement,quantity,absolute/character,unit_price,total,,Remarks,,,,Count Rows,Count Blank,Sum_product
1/1/26,Coffee,Davao,Coffee,Davao,50,50,120,6000,6000,Complete,,,,32,0,7
1/2/26,Juice,Cebu,Juice,Cebu,30,30,85,2550,2550,Complete,,,,,,
1/3/26, Cofee ,Davao,Cofee,Davao,40,40,120,4800,4800,Complete,,,,,,
1/4/26,Tea,Manila,Tea,Manila,25,25,95,2375,2375,Complete,,,,,,
1/5/26,Coffee,,Coffee,Missing Value,45,45,120,5400,5400,Complete,,,,,,
1/6/26,Juuce,Cebu,Juuce,Cebu,60,60,85,5100,5100,Complete,,,,,,
1/7/26,Coffee,Davao,Coffee,Davao,,0,120,3600,0,incomplete,,,,,,
1/8/26,Tea,Dvo,Tea,Dvo,35,35,95,3325,3325,Complete,,,,,,
1/9/26,Coffee,Manila,Coffee,Manila,50,50,120,6000,6000,Complete,,,,,,
1/10/26,Juice,Cebu,Juice,Cebu,20,20,85,1700,1700,Complete,,,,,,
1/11/26,Coffee,Davao,Coffee,Davao,55,55,120,7000,6600,Complete,,,,,,
1/12/26,Coffe,Cebu,Coffe,Cebu,40,40,120,4800,4800,Complete,,,,,,
1/13/26,Tea,Manila,Tea,Manila,30,30,95,2850,2850,Complete,,,,,,
1/14/26,Coffee,Davao,Coffee,Davao,50,50,120,6000,6000,Complete,,,,,,
1/15/26,Juice,Cebu,Juice,Cebu,-10,10,85,-850,850,Complete,,,,,,
1/16/26,coffee,Mnl,Coffee,Manila,45,45,120,5400,5400,Complete,,,,,,
1/17/26,Tea,Davao,Tea,Davao,35,35,95,3325,3325,Complete,,,,,,
1/18/26,Coffee,Cebu,Coffee,Cebu,60,60,120,7200,7200,Complete,,,,,,
1/19/26,Juic,Davao,Juic,Davao,25,25,85,2000,2125,Complete,,,,,,
1/20/26,Coffee,Manila,Coffee,Manila,50,50,120,6000,6000,Complete,,,,,,
1/14/26,Coffee,Davao,Coffee,Davao,50,50,120,6000,6000,Complete,,,,,,
1/21/26,Tea,Cebu,Tea,Cebu,abc,0,95,0,0,incomplete,,,,,,
1/22/26,Juice,Davao,Juice,Davao,40,40,85,3400,3400,Complete,,,,,,
1/23/26,Coffee,Manila,Coffee,Manila,55,55,120,5500,6600,Complete,,,,,,
1/24/26,Tea,,Tea,Missing Value,20,20,95,1900,1900,Complete,,,,,,
1/25/26,Coffee,Davao,Coffee,Davao,500,500,120,60000,60000,Complete,,,,,,
1/26/26,Juice,Cebu,Juice,Cebu,35,35,85,2975,2975,Complete,,,,,,
1/27/26, Tea ,Davao,Tea,Davao,30,30,95,2850,2850,Complete,,,,,,
1/28/26,Coffee,Manila,Coffee,Manila,45,45,120,5400,5400,Complete,,,,,,
1/29/26,Juice,Cebu,Juice,Cebu,50,50,85,4250,4250,Complete,,,,,,
1/30/26,Coffee,Davao,Coffee,Davao,40,40,120,4800,4800,Complete,,,,,,
