Transaction_ID,Date,Department,Category,Type,Amount,Status
TRX-1000,9/23/2023,Marketing,Consulting,Expense,"-2,393.80",
TRX-1001,1/19/2023,Marketing,Software,Expense,"-4,989.75",
TRX-1002,25-12-2023,Sales,Travel,Income,"2,595.41",
TRX-1003,9/23/2023,IT,Software,Expense,"-2,245.78",
TRX-1004,3/13/2023,HR,Software,Expense,-199.83,
TRX-1005,8/26/2023,Sales,Office Supplies,Income,"4,607.91",
TRX-1006,6/29/2023,HR,Office Supplies,Expense,"-1,190.79",
TRX-1007,1/3/2023,Sales,consulting,Expense,"-3,762.72",
TRX-1008,12/11/2023,Sales,Payroll,Expense,"-3,263.43",
TRX-1009,11/26/2023,Marketing,Software,Income,"1,556.20",
TRX-1010,12/13/2023,Marketing,Travel,Expense,-435.37,
TRX-1011,1/7/2023,Sales,Consulting,Expense,"-4,171.88",
TRX-1012,27-05-2023,Sales,consulting,Income ,"3,428.75",
TRX-1013,8/7/2023,Sales,Payroll,Income,"1,646.63",
TRX-1014,12/14/2023,Sales,Payroll,Expense,"-2,120.99",
TRX-1015,5/31/2023,IT,Office Supplies,Expense,"-1,499.11",
TRX-1016,9/4/2023,Marketing,Travel,Expense,"-1,919.22",
TRX-1017,6/11/2023,Marketing,Payroll,Expense,             ,
TRX-1018,10/21/2023,Sales,Office Supplies,Expense,-171.35,
TRX-1019,11/9/2023,HR,Payroll,Expense,"-3,183.06",
TRX-1020,10/9/2023,Operations,Payroll,Income,"2,211.52",
TRX-1021,1/16/2023,IT,Travel,Expense,-373.27,
TRX-1022,12/30/2023,Operations,Travel,Expense,"-2,271.00",
TRX-1023,28-09-2023,Operations,SOFTWARE,Income,"2,245.46",
TRX-1024,16-02-2023,Marketing,Software,Income,964.46,
TRX-1025,9/18/2023,Marketing,Software,Expense,-536.39,
TRX-1026,2/12/2023,HR,Consulting,Income ,"1,638.55",
TRX-1027,9/25/2023,Sales,Office Supplies,Income,"1,609.85",
TRX-1028,6/30/2023,IT,Travel,Income,"4,966.01",
TRX-1029,1/9/2023,IT,Software,Expense,-257.53,
TRX-1030,,HR,Software,Income,"4,024.98",
TRX-1031,28-10-2023,HR,consulting,Expense,"-3,425.81",
TRX-1032,8/17/2023,Sales,Consulting,Income,612.20,
TRX-1033,1/1/2024,Marketing,Payroll,Income,340.16,
TRX-1034,10/5/2023,Operations,Software,Income ,"4,976.76",
TRX-1035,1/8/2023,Operations,travel,Expense,"-3,720.72",
TRX-1036,7/29/2023,Operations,Payroll,Expense,"-3,158.59",
TRX-1037,8/18/2023,IT,Consulting,Expense,-913.84,
TRX-1038,30-09-2023,Operations,Office Supplies,Income,52.85,
TRX-1039,,HR,Travel,Income ,"3,029.25",
TRX-1040,8/1/2023,Sales,Office Supplies,Expense,"-3,844.41",
TRX-1041,19-08-2023,HR,Payroll,Expense,"-1,241.44",
TRX-1042,,Sales,office supplies,Income ,"1,571.93",
TRX-1043,3/17/2023,IT,Software,Income ,"2,466.20",
TRX-1044,12/11/2023,Operations,Payroll,Income,"4,693.38",
TRX-1045,22-03-2023,Sales,Payroll,Income,123.82,
TRX-1046,11/16/2023,Marketing,Payroll,Expense,"-3,733.81",
TRX-1047,4/10/2023,IT,Consulting,Expense,"-3,299.46",
TRX-1048,4/10/2023,Sales,Office Supplies,Expense,"-1,598.45",
TRX-1049,8/7/2023,HR,Office Supplies,Expense,,
