Date_Acquired,Company,Source,Status,Acquisition_Cost,Expected_Revenue,Priority
1/2/2023,Company_42,Cold Call,Closed Won,64.94,1300,Standard
1/5/2023,Company_38,Organic Search,Contacted,31.36,11300,High Value
1/9/2023,Company_25,LinkedIn,Qualified,25.49,13600,High Value
1/13/2023,Company_46,LinkedIn,Proposal Sent,85.24,18900,High Value
1/14/2023,Company_33,LinkedIn,Closed Won,113.76,16200,High Value
1/15/2023,Company_21,LinkedIn,Contacted,139.58,17100,High Value
1/15/2023,Company_38,Cold Email,Qualified,89.78,7800,Standard
1/21/2023,Company_49,Webinar,Qualified,131.17,5200,Standard
1/21/2023,Company_3,LinkedIn,Closed Won,145.1,19000,High Value
1/22/2023,Company_38,Referral,Closed Lost,31.61,1200,Standard
1/28/2023,Company_33,Referral,Qualified,45.25,3000,Standard
1/28/2023,Company_32,Cold Call,Contacted,60.74,14800,High Value
1/29/2023,Company_30,LinkedIn,Contacted,56.69,18600,High Value
2/2/2023,Company_48,LinkedIn,New Lead,66.12,9300,Standard
2/4/2023,Company_22,Cold Call,Proposal Sent,140.5,18400,High Value
2/4/2023,Company_25,Webinar,Closed Lost,124.04,16900,High Value
2/5/2023,Company_29,Cold Email,Qualified,65.74,19500,High Value
2/10/2023,Company_36,Webinar,Closed Lost,85.98,15600,High Value
2/10/2023,Company_8,Cold Email,New Lead,114.15,8400,Standard
2/11/2023,Company_33,LinkedIn,Proposal Sent,25.85,10300,High Value
2/13/2023,Company_2,Cold Email,Proposal Sent,80.38,16800,High Value
2/13/2023,Company_33,LinkedIn,Contacted,98.52,7000,Standard
2/14/2023,Company_31,LinkedIn,Qualified,34.69,3300,Standard
2/17/2023,Company_20,Webinar,New Lead,74.68,5700,Standard
2/18/2023,Company_6,Cold Email,Contacted,57.12,4400,Standard
2/19/2023,Company_31,LinkedIn,Closed Won,60.24,4300,Standard
2/20/2023,Company_6,LinkedIn,Proposal Sent,105.41,8200,Standard
2/21/2023,Company_19,Cold Email,Closed Lost,82.64,18600,High Value
2/21/2023,Company_50,LinkedIn,New Lead,62.26,6600,Standard
2/22/2023,Company_40,Referral,Contacted,121.34,11300,High Value
2/22/2023,Company_24,Organic Search,Closed Won,135.14,4200,Standard
2/23/2023,Company_35,Webinar,Contacted,124.32,18400,High Value
2/24/2023,Company_29,LinkedIn,Qualified,93.39,6100,Standard
2/28/2023,Company_22,Referral,Closed Won,28.82,12100,High Value
3/3/2023,Company_8,Cold Call,New Lead,142.62,16600,High Value
3/3/2023,Company_35,LinkedIn,New Lead,79.77,2500,Standard
3/4/2023,Company_47,Organic Search,Closed Won,127.45,19800,High Value
3/4/2023,Company_18,LinkedIn,Closed Won,121.62,1600,Standard
3/6/2023,Company_20,Organic Search,Qualified,132.75,6600,Standard
3/7/2023,Company_49,Webinar,Closed Won,73.34,12300,High Value
3/13/2023,Company_49,Referral,Qualified,65.7,13500,High Value
3/22/2023,Company_18,Cold Call,New Lead,42.1,12300,High Value
3/22/2023,Company_23,LinkedIn,Qualified,83.23,11000,High Value
3/27/2023,Company_24,LinkedIn,Contacted,73.31,16700,High Value
3/29/2023,Company_37,Referral,Qualified,140.11,16200,High Value
3/30/2023,Company_7,Webinar,Contacted,35.37,10300,High Value
4/2/2023,Company_11,LinkedIn,Closed Won,32.91,5900,Standard
4/6/2023,Company_4,LinkedIn,New Lead,92.78,4400,Standard
4/6/2023,Company_39,Cold Email,New Lead,88.35,15000,High Value
4/9/2023,Company_17,Cold Email,New Lead,80.82,6200,Standard
4/10/2023,Company_32,LinkedIn,Closed Lost,87.95,4400,Standard
4/11/2023,Company_46,Webinar,New Lead,107.53,19100,High Value
4/13/2023,Company_2,Cold Call,Proposal Sent,124.39,5400,Standard
4/13/2023,Company_2,Organic Search,Closed Won,83.43,8800,Standard
4/16/2023,Company_7,Cold Email,Qualified,71.48,3200,Standard
4/17/2023,Company_37,Webinar,New Lead,25.69,14600,High Value
4/18/2023,Company_23,Webinar,Contacted,91.28,2200,Standard
