Employee_ID,coffee_cups,hours_worked,breaks,performance_score,salary
E0001,12,8,3,4.76,1317.0
E0001,9,10,2,5.0,1172.0
E0001,13,11,2,5.0,1262.0
E0001,10,8,0,4.59,1197.0
E0001,12,6,4,4.03,1042.0
E0001,8,10,3,4.7,1164.0
E0001,12,7,1,4.41,1112.0
E0001,13,11,2,5.0,1245.0
E0001,10,8,0,4.64,1151.0
E0001,9,6,0,3.65,975.0
E0001,13,7,3,4.63,1195.0
E0001,13,7,2,4.68,1155.0
E0001,8,9,4,4.52,1195.0
E0001,11,10,2,5.0,1285.0
E0001,10,8,3,4.61,1213.0
E0001,7,6,3,3.47,919.0
E0001,13,9,2,5.0,1229.0
E0001,11,10,3,5.0,1242.0
E0001,7,9,2,4.82,1262.0
E0001,10,11,1,5.0,1301.0
E0001,6,10,2,4.52,1149.0
E0001,11,10,2,5.0,1276.0
E0001,14,8,3,5.0,1334.0
E0001,6,10,3,4.9,1215.0
E0001,8,9,0,4.8,1247.0
E0002,12,10,0,5.0,1260.0
E0002,9,8,1,4.61,1162.0
E0002,14,8,0,5.0,1325.0
E0002,8,11,2,5.0,1311.0
E0002,10,9,3,5.0,1311.0
E0002,8,7,0,4.04,1095.0
E0002,12,7,0,4.65,1184.0
E0002,10,10,1,5.0,1304.0
E0002,14,11,1,5.0,1254.0
E0002,12,6,2,4.1,1061.0
E0002,7,10,3,4.92,1243.0
E0002,9,11,1,5.0,1275.0
E0002,14,9,0,4.93,1282.0
E0002,7,9,3,4.74,1164.0
E0002,14,9,3,4.98,1370.0
E0002,10,9,0,4.81,1172.0
E0002,7,9,1,4.82,1164.0
E0002,9,11,0,5.0,1328.0
E0002,12,11,3,5.0,1310.0
E0002,13,8,4,4.76,1241.0
E0002,8,7,4,4.24,1111.0
E0002,6,9,2,4.35,1107.0
E0002,9,6,0,3.94,960.0
E0002,7,11,0,5.0,1274.0
E0002,13,6,2,4.17,1029.0
E0003,9,6,2,4.33,1151.0
E0003,7,6,2,3.83,970.0
E0003,11,8,3,4.29,1051.0
E0003,11,11,0,5.0,1254.0
E0003,9,6,3,3.77,983.0
E0003,11,9,2,5.0,1242.0
E0003,7,10,0,4.74,1164.0
E0003,7,6,3,3.68,952.0
E0003,9,8,3,4.6,1182.0
E0003,13,11,2,5.0,1245.0
E0003,12,8,0,4.56,1136.0
E0003,14,6,2,4.33,1114.0
E0003,13,11,0,5.0,1198.0
E0003,10,10,4,5.0,1200.0
E0003,7,6,1,4.05,997.0
E0003,10,8,1,4.68,1179.0
E0003,13,7,1,4.35,1123.0
E0003,14,9,2,5.0,1344.0
E0003,14,8,4,5.0,1313.0
E0003,6,11,0,5.0,1262.0
E0003,14,6,3,4.1,1044.0
E0003,12,9,0,5.0,1220.0
E0003,14,6,3,4.65,1182.0
E0003,13,11,0,5.0,1256.0
E0003,6,6,4,3.69,959.0
E0004,13,7,3,4.75,1166.0
E0004,13,9,2,5.0,1296.0
E0004,8,9,0,4.69,1269.0
E0004,6,11,0,4.45,1127.0
E0004,13,7,3,4.4,1140.0
E0004,8,8,2,4.35,1142.0
E0004,8,6,2,3.55,887.0
E0004,6,10,4,5.0,1281.0
E0004,10,6,2,3.71,948.0
E0004,12,6,2,4.11,1052.0
E0004,14,8,2,5.0,1231.0
E0004,12,6,1,4.49,1144.0
E0004,14,7,4,4.41,1147.0
E0004,13,7,0,4.83,1300.0
E0004,7,9,3,4.6,1218.0
E0004,6,11,0,4.9,1353.0
E0004,12,10,4,5.0,1232.0
E0004,12,6,3,4.24,1124.0
E0004,13,6,4,4.18,1074.0
E0004,10,8,2,4.61,1282.0
E0004,8,11,3,5.0,1230.0
E0004,13,7,2,4.62,1133.0
E0004,11,10,0,5.0,1240.0
E0004,8,9,0,5.0,1164.0
E0004,6,7,3,3.65,906.0
