platform,post_type,post_length,views,likes,comments,shares,engagement_rate
1,1,62,91660,2968,276,346,0.039166485
2,2,104,113115,4164,632,406,0.045988596
1,2,46,36043,3125,188,100,0.094692451
1,3,39,124886,5970,948,578,0.060022741
2,2,42,82831,8212,1104,334,0.116502276
2,2,71,221855,5252,459,775,0.029235311
1,1,45,69250,3580,530,192,0.062122744
3,2,103,171894,13050,917,1441,0.089636637
1,1,54,193496,2028,202,213,0.012625584
1,2,108,69345,1641,180,180,0.028855721
1,2,90,186950,2212,368,167,0.014693768
1,2,76,199035,19775,1904,586,0.111864747
2,3,83,247591,19425,1114,2863,0.094518783
1,1,49,88898,3877,298,174,0.048921236
3,3,75,133108,3203,452,384,0.030343781
2,2,23,95034,1723,90,65,0.019761349
3,3,108,95923,5551,937,313,0.070900618
3,1,110,12273,1200,222,111,0.124908335
3,2,21,158102,11180,1389,824,0.084711136
3,3,69,129419,5547,866,801,0.055741429
2,3,113,57460,3164,377,411,0.068778281
2,1,97,266940,26667,2568,3728,0.123484678
3,3,81,78939,4474,334,462,0.06676041
3,1,60,152111,14721,1880,713,0.113824773
2,2,116,19017,218,41,19,0.014618499
2,2,97,87901,6582,1207,786,0.097552929
2,3,45,118000,7840,1473,222,0.080805085
1,2,46,42215,3025,589,399,0.095060997
1,2,10,15583,956,71,97,0.072129885
1,3,73,166991,2333,167,266,0.016563767
3,2,102,49025,1150,131,126,0.028699643
1,3,79,178326,16584,2543,2159,0.119365656
3,1,77,179347,5553,643,174,0.035517739
3,1,106,59943,5956,1095,411,0.124484927
1,1,44,143586,10218,1610,872,0.088448735
3,3,45,171488,8573,1243,780,0.06178858
1,3,13,4511,418,25,59,0.111283529
1,2,12,152714,12453,950,317,0.089841141
2,2,48,87151,4236,483,561,0.060584503
1,2,62,231197,3739,734,343,0.02083072
2,2,108,187966,16568,1659,1525,0.105082834
1,2,71,27225,2146,310,132,0.095059688
1,3,17,154918,12574,2493,1303,0.105668805
2,3,23,34152,2630,235,273,0.091883345
2,1,102,71107,2475,185,110,0.038955377
1,1,100,184426,16099,2124,1738,0.108233112
3,1,53,126387,1289,171,70,0.012105675
2,1,84,162260,5087,957,557,0.040681622
3,3,104,62910,892,48,88,0.016340804
3,3,86,44530,888,98,100,0.024388053
3,3,82,80753,4676,452,105,0.064802546
2,2,34,46999,627,85,22,0.015617354
3,2,70,8609,226,11,29,0.030897898
2,1,81,194841,6029,944,418,0.037933494
3,2,95,180469,12448,1527,1602,0.086313993
1,3,63,244649,12769,1980,359,0.061753778
1,1,57,52322,2681,314,321,0.063376782
2,1,56,272295,21554,2610,665,0.091184194
1,2,85,9406,480,88,38,0.064426962
1,1,35,65678,2716,221,385,0.050580103
3,2,19,49062,4740,391,142,0.107476255
2,2,24,216501,2326,311,152,0.012882158
3,1,9,166028,6223,927,543,0.046335558
3,2,11,113377,7351,758,1006,0.080395495
3,2,22,55830,4491,574,284,0.095808705
3,2,60,15133,1263,106,157,0.100839226
3,2,79,14209,201,14,22,0.016679569
3,1,100,111828,8255,707,494,0.084558429
3,3,118,76681,5737,1075,368,0.093634668
2,3,95,248733,7279,1239,326,0.035556199
1,2,94,57345,1155,82,127,0.023785858
3,2,105,44585,3454,196,321,0.089065829
3,2,49,36638,1189,76,47,0.035809815
3,3,32,22645,229,21,23,0.012055641
3,2,54,20408,614,105,52,0.037779302
3,1,6,14521,185,18,5,0.014324082
3,1,88,89414,2899,225,417,0.039602299
1,1,72,131432,5277,577,678,0.049698704
1,3,81,126520,4355,298,127,0.037780588
3,2,28,40221,3732,449,526,0.117028418
1,2,116,103131,3189,482,443,0.039891012
2,2,106,157158,8184,861,208,0.058877054
3,3,108,18923,1819,138,84,0.107858162
2,3,52,86761,7732,912,860,0.109542306
2,3,49,274346,10379,1706,1468,0.049401121
