,txn_id,date,city,property_type,agent,listed_price,sold_price,appraised_value,days_on_market,buyer_city,buyer_txn_count,price_ratio,flag_price_flip,value_ratio,flag_undervalue,zscore_sold,flag_zscore_outlier,sold_speed,flag_volume,fraud_score
0,TXN-0001,2025-11-24,Manila,Condo,Agent_F,3650175.91,3224863.29,3822808.22,169,Makati,1,0.8835,False,0.8436,False,-0.6607,False,slow,False,0
1,TXN-0002,2025-02-17,Cebu,House & Lot,Agent_E,10224224.75,9551335.39,10665951.36,169,Cebu,1,0.9342,False,0.8955,False,0.5048,False,slow,False,0
2,TXN-0003,2025-05-23,Manila,House & Lot,Agent_F,8071372.78,7197087.34,7611811.03,116,Makati,1,0.8917,False,0.9455,False,-0.2255,False,slow,False,0
3,TXN-0004,2025-06-26,Quezon City,Townhouse,Agent_A,7972988.4,7418341.19,8727417.7,126,Davao,2,0.9304,False,0.85,False,0.8243,False,slow,False,0
4,TXN-0005,2025-11-13,Davao,Commercial,Agent_B,22614295.91,19377594.45,21383618.13,104,Davao,2,0.8569,False,0.9062,False,0.3265,False,average,False,0
5,TXN-0006,2025-02-21,Makati,Townhouse,Agent_D,7267633.33,6575208.31,7078937.9,83,Makati,2,0.9047,False,0.9288,False,0.4378,False,average,False,0
6,TXN-0007,2025-12-16,Taguig,Condo,Agent_E,5809869.73,5403881.74,5513346.67,148,Taguig,3,0.9301,False,0.9801,False,0.2141,False,slow,False,0
7,TXN-0008,2025-11-24,Taguig,Commercial,Agent_B,22115356.27,21594048.4,23336123.54,88,Taguig,2,0.9764,False,0.9253,False,0.6726,False,average,False,0
8,TXN-0009,2025-07-25,Davao,Condo,Agent_B,7478816.75,6993269.59,7804764.93,84,Davao,1,0.9351,False,0.896,False,0.8521,False,average,False,0
9,TXN-0010,2025-11-26,Makati,House & Lot,Agent_C,4675563.83,4496715.79,4712011.99,179,Makati,1,0.9617,False,0.9543,False,-1.0631,False,slow,False,0
10,TXN-0011,2025-07-05,Cebu,House & Lot,Agent_E,8922190.02,8595346.32,9566555.78,69,Cebu,2,0.9634,False,0.8985,False,0.2083,False,fast,False,0
11,TXN-0012,2025-08-05,Quezon City,Condo,Agent_D,4289715.72,4287219.99,4314694.17,171,Quezon City,1,0.9994,False,0.9936,False,-0.2342,False,slow,False,0
12,TXN-0013,2025-02-28,Taguig,Commercial,Agent_C,24214968.32,21818323.82,23214890.75,70,Taguig,3,0.901,False,0.9398,False,0.7077,False,fast,False,0
13,TXN-0014,2025-05-15,Quezon City,House & Lot,Agent_E,13951534.07,13680564.38,13389133.2,159,Quezon City,1,0.9806,False,1.0218,False,1.7857,False,slow,False,0
14,TXN-0015,2025-03-24,Quezon City,Commercial,Agent_A,19973614.61,18441455.73,18423133.72,122,Quezon City,2,0.9233,False,1.001,False,0.1803,False,slow,False,0
