,date,category,sales,quantity,customer_id
0,2023-01-01,Home,61.01,5,1020
1,2023-01-01,Electronics,289.25,2,1015
2,2023-01-01,Clothing,213.17,6,1015
3,2023-01-01,Home,140.84,3,1037
4,2023-01-01,Home,275.4,4,1027
5,2023-01-01,Clothing,252.62,6,1003
6,2023-01-01,Electronics,416.57,4,1000
7,2023-01-01,Home,462.02,7,1007
8,2023-01-01,Electronics,300.28,4,1009
18,2023-01-02,Electronics,149.7,1,1022
17,2023-01-02,Electronics,329.2,3,1043
16,2023-01-02,Clothing,332.87,3,1009
15,2023-01-02,Clothing,267.01,3,1016
14,2023-01-02,Electronics,422.5,3,1032
13,2023-01-02,Electronics,301.86,4,1019
12,2023-01-02,Electronics,142.66,6,1001
11,2023-01-02,Electronics,360.83,1,1020
10,2023-01-02,Home,181.85,3,1021
9,2023-01-02,Electronics,97.49,6,1049
19,2023-01-03,Electronics,294.81,4,1002
20,2023-01-03,Home,325.56,3,1026
21,2023-01-03,Clothing,141.35,5,1041
22,2023-01-03,Home,301.74,5,1003
23,2023-01-03,Home,351.36,2,1033
24,2023-01-03,Electronics,215.2,7,1034
25,2023-01-03,Electronics,130.52,2,1021
29,2023-01-04,Clothing,264.23,4,1017
28,2023-01-04,Clothing,355.73,7,1009
30,2023-01-04,Home,291.49,5,1035
26,2023-01-04,Electronics,108.8,2,1044
27,2023-01-04,Clothing,41.05,2,1004
31,2023-01-05,Clothing,356.55,1,1020
32,2023-01-05,Clothing,119.98,2,1038
33,2023-01-05,Home,83.46,8,1034
36,2023-01-06,Home,273.12,7,1026
37,2023-01-06,Home,78.49,1,1022
34,2023-01-06,Home,472.69,1,1049
35,2023-01-06,Electronics,96.43,3,1030
38,2023-01-07,Home,362.82,9,1019
39,2023-01-07,Electronics,30.63,1,1022
40,2023-01-07,Home,245.76,1,1029
41,2023-01-07,Home,223.07,5,1001
42,2023-01-07,Electronics,67.7,5,1044
49,2023-01-08,Clothing,347.32,5,1008
48,2023-01-08,Home,100.72,2,1020
47,2023-01-08,Electronics,116.94,7,1036
44,2023-01-08,Clothing,424.76,9,1034
45,2023-01-08,Electronics,383.6,2,1006
43,2023-01-08,Clothing,351.05,5,1009
46,2023-01-08,Clothing,482.86,8,1031
