transaction_id,customer_id,order_date,total_amount,items_count,failed_login_attempts_before_buy
T001,C101,2023-10-01,150.50,2,0
T002,C102,2023-10-02,45.00,1,1
T003,C101,2023-10-15,200.00,3,0
T004,C103,2023-10-20,99.99,1,0
T005,C102,2023-10-22,50.00,1,0
T006,C104,2023-10-25,1200.00,15,0
T007,C101,2023-11-01,75.25,1,0
T008,C105,2023-11-05,5000.00,50,8
T009,C103,2023-11-10,120.00,2,0
T010,C106,2023-11-15,85.00,1,0
T011,C102,2023-11-18,60.00,1,0
T012,C107,2023-11-20,9999.99,2,15
T013,C104,2023-11-25,15.00,1,0
T014,C101,2023-11-28,300.00,4,0
T015,C108,2023-12-01,25.50,1,0
