order_id,order_date,quarter_month,order_time,order_time_by_category_python,order_time_category_excel,region,islands,category,product_name,quantity,unit_price,total_cost,shipping_cost,discount,final_amount,payment_method,shipping_type,status,customer_rating,delivered_rating,accept_rating,anomaly_remarks
ORD-01001,11/23/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,3:01,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Calabarzon,luzon,Sports,Sports Item 704,4,5944.48,23777.92,219.17,6364.25,17632.84,COD,Standard,Delivered,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01002,4/21/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,7:32,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Health,Health Item 703,1,3608.5,3608.5,225.33,454.15,3379.68,Maya,Standard,Processing,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01003,6/23/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,8:09,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Davao Region,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 926,6,1201.79,7210.74,139.74,744.05,6606.43,Credit Card,Economy,Returned,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01004,7/12/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,2:35,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Sports,Sports Item 891,10,3020.75,30207.5,98.07,630.33,29675.24,Maya,Standard,Processing,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01005,7/13/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,8:29,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Groceries,Groceries Item 723,3,458.54,1375.62,116.74,386.54,1105.82,GrabPay,Express,Returned,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01006,3/24/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,14:24,Afternoon,Afternoon,NCR,Function 'define_island' not found in workbook settings or app-functions.json,Sports,Sports Item 924,9,2729.41,24564.69,242.08,412.23,24394.54,Maya,Economy,Shipped,1,1,1,False
ORD-01007,4/18/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,18:56,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Davao Region,Function 'define_island' not found in workbook settings or app-functions.json,Groceries,Groceries Item 242,4,821.48,3285.92,278.64,452.33,3112.23,GCash,Same Day,Returned,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01008,10/25/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,12:23,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 911,3,363.64,1090.92,61.78,35.89,1116.81,GrabPay,Economy,Returned,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01009,7/16/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,12:38,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 798,9,896.85,8071.65,285.61,1647.3,6709.96,Bank Transfer,Same Day,Shipped,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01010,5/30/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,13:10,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 619,1,1332.4,1332.4,115.85,200.09,1248.16,Credit Card,Same Day,Returned,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01011,4/11/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,4:23,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Home & Living,Home & Living Item 119,9,13859.78,124738.02,279.62,22413.35,102604.29,Credit Card,Same Day,Shipped,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01012,1/30/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,7:56,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Health,Health Item 231,298,4098.51,1221355.98,294.5,195187.16,1026463.32,GrabPay,Economy,Returned,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01013,5/15/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,16:55,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Davao Region,Function 'define_island' not found in workbook settings or app-functions.json,Health,Health Item 508,7,4651.68,32561.76,238.82,6738.99,26061.59,GrabPay,Same Day,Cancelled,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01014,8/19/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,3:15,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 824,2,1806.1,3612.2,107.53,238.64,3481.09,GrabPay,Standard,Processing,1,1,0,False
ORD-01015,1/17/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,10:04,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,SOCCSKSARGEN,Function 'define_island' not found in workbook settings or app-functions.json,Automotive,Automotive Item 690,4,9965.58,39862.32,184.81,8650.35,31396.78,COD,Express,Cancelled,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01016,4/7/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,3:06,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Calabarzon,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 162,6,1454.37,8726.22,232.27,1762.78,7195.71,COD,Same Day,Delivered,2,2,2,False
ORD-01017,4/8/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,6:34,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Books,Books Item 927,3,526.04,1578.12,112.45,437.11,1253.46,Bank Transfer,Standard,Delivered,5,5,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01018,1/8/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,2:59,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Central Luzon,Function 'define_island' not found in workbook settings or app-functions.json,Beauty,Beauty Item 488,3,1495.94,4487.82,266.16,1215,3538.98,Credit Card,Economy,Shipped,4,4,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01019,5/26/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,13:44,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Bicol Region,Function 'define_island' not found in workbook settings or app-functions.json,Automotive,Automotive Item 162,8,6285.8,50286.4,292.18,8737.47,41841.11,GrabPay,Same Day,Delivered,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01020,10/26/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,15:32,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Automotive,Automotive Item 513,310,2062.17,639272.7,96.46,114116.91,525252.25,Credit Card,Express,Returned,5,5,0,True
ORD-01021,1/21/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,19:05,Function 'order_time_category' not found in workbook settings or app-functions.json,Evening,Western Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Toys,Toys Item 344,10,1017.47,10174.7,115.19,2044.28,8245.61,Maya,Economy,Processing,3,3,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01022,8/22/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,10:59,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Central Visayas,Function 'define_island' not found in workbook settings or app-functions.json,Fashion,Fashion Item 618,1,4992.58,4992.58,299.02,109.73,5181.87,Maya,Express,Shipped,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01023,5/5/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,11:18,Function 'order_time_category' not found in workbook settings or app-functions.json,Morning,Bicol Region,Function 'define_island' not found in workbook settings or app-functions.json,Home & Living,Home & Living Item 108,8,10642.04,85136.32,202.92,25214.82,60124.42,GrabPay,Same Day,Delivered,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,False
ORD-01024,5/15/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,3:56,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Davao Region,Function 'define_island' not found in workbook settings or app-functions.json,Fashion,Fashion Item 617,9,1552.43,13971.87,102.66,1437.2,12637.33,COD,Same Day,Delivered,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,Function 'anomaly_remarks' not found in workbook settings or app-functions.json
ORD-01025,11/20/2024,Q4,13:53,Function 'order_time_category' not found in workbook settings or app-functions.json,Afternoon,Ilocos Region,Function 'define_island' not found in workbook settings or app-functions.json,Sports,Sports Item 664,444,1220.39,541853.16,294.95,26266.11,515882,GrabPay,Economy,Returned,1,1,Function 'accept_rating' not found in workbook settings or app-functions.json,True
ORD-01026,2/27/2024,Function 'get_quarter' not found in workbook settings or app-functions.json,2:56,Function 'order_time_category' not found in workbook settings or app-functions.json,Night,Davao Region,Function 'define_island' not found in workbook settings or app-functions.json,Home & Living,Home & Living Item 473,239,8862.89,2118230.71,87.02,80987.7,2037330.03,Credit Card,Same Day,Processing,2,2,Function 'accept_rating' not found in workbook settings or app-functions.json,True
